PULocationID,trip_distance,passenger_count,fare_amount,tip_amount,total_amount
1,1292.13,1043,58299.84,8402.25,69912.38
2,192.28,25,665.5,62.47,795.17
3,1042.17,228,4675.02,98.62,5168.99
4,34227.77,19988,155244.66,24049.37,226487.15
5,440.51,16,1353.2,0,1428.6
6,40.89,18,560.7,40.26,670.04
7,28328.12,15844,122990.3,10015.71,151386.05
8,533.2,162,3902.65,516.35,5136.88
9,517.06,104,1935.62,42.42,2089.8
10,36159.2,4034,129263.15,17852.48,167912.82
11,753.52,142,3638.1,112.66,4144.97
12,14343.2,5881,60052.8,7814.26,80306.83
13,285667.18,109560,1126804.79,202565.25,1597906.5299999998
14,3323.95,719,16284.62,469.37,18128.91
15,988.99,147,4305.6,89.8,4854
16,1233.4,220,5076.04,85.65,5567.02
17,4761.4,1846,20467.3,1007.15,23586.03
18,913.17,260,4538.21,105.28,5039.21
19,821.71,173,3265.21,30.34,3524.17
20,605.76,171,2681.9,92.89,3065.07
21,1179.95,408,4823.51,91.37,5420.77
22,1419.32,421,6038.28,60.95,6778.83
23,801.46,53,4595,173.51,4892.63
24,56973.26,36964,265572.21,41348.25,368236.26
25,23085.12,10003,96826.22,11948.44,121098.87
26,1881.53,644,8584.28,122.78999999999999,9518.22
27,47.88,13,368.9,17.5,421.81
28,8251.09,1266,33519.26,3916.16,42327.340000000004
29,982.72,385,5208.8,167.1,5734.85
30,43.06,7,512.3,0,546.62
31,261.04,73,1202.9,107.99,1441.48
32,1411.33,247,5751.3,58.23,6380.9000000000005
33,32719.04,13055,131208.34,19475.27,169598.15
34,764.26,363,3309.8,415.56,4228.42
35,3444.12,702,14548.54,46.21,15475.39
36,2900.21,1001,12187.1,1267.39,14845.710000000001
37,4520.78,1767,20609.41,1571.35,24708.85
38,1041.44,146,4771.4,96.42,5110.57
39,4189.42,778,20271.47,157.82,21615.31
40,12642.42,5899,51382.22,8267.34,68437.85
41,66580.99,46540,312597.79,35354.3,406932.93000000005
42,31638.94,19441,147327.18,10805.32,179567.53999999998
43,272472.33,209082,1429631.43,239983.3,2124668.179999999
44,325.49,30,1000,0,1022.4
45,46553.91,23154,215879.95,29168.55,298481.97
46,267.69,48,1478.2,43.28,1605.06
47,1445.88,375,5900.8,65.69,6511.87
48,578281.29,370376,2751944.9,453548.46,4107470.4999999963
49,5550.03,2472,25279.3,2526.69,30668.77
50,166344.56,105420,781153.67,129559.19,1162146.04
51,2997.4,569,12565.79,64.71,13743.45
52,15155.3,6591,60902.7,10617.17,80442.87
53,1169.35,212,4237.71,36.42,4636.45
54,1077.83,437,4263,655.68,5610.08
55,2197.06,360,10934.81,241.92,11817.18
56,3696.93,706,19146.14,2297.0299999999997,24466.63
57,82.41,30,495.7,103.61,667.87
58,199.49,35,771.7,38.41,927.6700000000001
59,36.79,10,148.5,7.95,166.15
60,850.5,192,3434.2,34.25,3859.8
61,6862.26,2248,30494.54,1494.09,34659.6
62,2255.15,644,9744.1,242.99,10631.07
63,1332.56,324,6908.1,117.84,7535.03
64,631.59,115,3339.7,20.939999999999998,3543.96
65,38583.27,14588,151556.01,20614.38,194303.19999999998
66,17906.86,7107,71290.17,11440.38,93755.25
67,754.6800000000001,167,3371.5,75.52,3776.41
68,425802.27999999997,284318,2123036.44,372951.48,3183528.2699999977
69,3231.28,924,13523.17,264.17,15040.86
70,27888.99,6243,89259.63,2293.8,97347.31999999999
71,2837.42,602,11946.4,64.56,13024.44
72,2880.91,607,13622.1,120.36,14589.75
73,191.83,63,784.9,9.42,853.1800000000001
74,74077.53,47264,333910.49,31054.7,430958.20000000007
75,135778.3,86854,624577.17,79489.46,854375.9500000003
76,6580.11,1481,32144.2,447.29,34543.74
77,1254.78,255,6091.7300000000005,19.580000000000002,6536.11
78,1566.9,333,6529.4,88.97,7297.51
79,452764.15,294141,2083971.44,381113.31,3161844.3499999978
80,9685.68,3864,40865.24,5413.65,51650.95
81,1633.97,300,7432.61,76.18,8103.42
82,8904.32,3451,51553.85,3721.29,62082.9
83,2454.19,1039,11796.44,805.02,14066.050000000001
84,112.99,19,676,120,828.98
85,1723.16,388,8261.22,81.75,8972.4
86,1304.79,148,6070.37,19.02,6467.05
87,244853.27,86495,955932.83,164899.87,1336588.5399999998
88,140007.85,46411,537663.25,87466.43,741724.16
89,5251.1,1613,21772.07,757.35,24744.75
90,262464.78,197419,1353457.5,251972.51,2086820.2699999989
91,2905.8,697,13324.31,68.83,14378.58
92,2675.92,566,10690.03,809.38,12456.69
93,13759.2,2115,70450.62,10752.65,91959.54000000001
94,587.64,176,2550.2,24.44,2842.27
95,5636.83,1657,23582.34,1880.73,28517.27
96,233.73,123,4324.7,31.21,4691.33
97,20700.13,9228,87397.05,9903.09,108686.15
98,610.01,147,2990.72,15.7,3242.53
99,73.05,8,301.2,3.96,348.26
100,357973.85,230436,1777070.98,275822.85,2627630.169999998
101,892.76,169,4696.5,110.96000000000001,4996.29
102,732.59,192,3181.1,76.89,3573.21
105,43.18,16,170,24.59,235.69
106,3191,1487,13662.61,1782.6,17287.15
107,376943.92,267791,1875522.91,349957.36,2875607.929999998
108,694.4,140,4327.87,559.94,5165.38
109,30.34,7,252.7,24.07,337.61
111,58.81,31,254,17.71,305.68
112,7914.93,3519,33629.33,4173.4,42741.53
113,242437.73,176459,1242573.04,230511.96,1895085.5699999991
114,217609.91999999998,145305,1029724.55,188244.47,1560076.7699999996
115,46.8,13,246,15,330.1
116,27583.53,13911,118171.52,12365.88,148159.61
117,1056.44,164,5492.4800000000005,12.98,5892.3
118,163.48,38,686.7,39.980000000000004,798.4
119,1800.27,506,7586.67,361.97,8764.67
120,247.36,60,1355.54,158.17,1699.82
121,1371.93,245,5057.7,80.21,5654.7300000000005
122,905.72,159,3556.6,14.71,3835.29
123,1132.56,391,5301.52,41.9,5872.74
124,1794.52,288,8739.7,387.1,9800.91
125,112387.73,67868,531456.92,99153.43,795178.7600000001
126,717.3100000000001,201,2894.7,85.48,3283.18
127,3236.46,1174,13967.52,1079.48,16602.52
128,301.89,104,2288.45,116,2600.97
129,14773.79,6045,61703.91,4193.4,73094.06
130,12763.43,1976,48366.27,5194.73,60810.99
131,1491.94,275,5595.13,31,6114.7
132,3762395.2199999997,393046,11198203.23,1479986.1699999995,14016251.240000011
133,1919.13,655,8033.3,516.44,9539.31
134,3875.35,894,20277.7,2452.65,25160
135,3143.63,447,10836.99,208.7,12270.15
136,1334.56,338,6338.31,102.01,6981.8
137,204176.62,136970,967805.92,162441.36,1462344.7899999998
138,1881892.25,325797,6377301.2,1127592.3699999999,8835801.300000006
139,1357.4,217,5728.82,33.57,6062.65
140,321938.93,210403,1532688.52,259629.15,2292031.7099999986
141,340957.91,267125,1708629.19,306355.84,2650179.789999998
142,510920.55,373854,2570327.75,464657.63,3920068.9399999967
143,189706.34,140761,956735.87,172225.71,1461417.7099999997
144,185316.55,118239,892049.29,151088.67,1314977.0299999998
145,26770.69,12811,176724.36,24424.22,231735.66999999998
146,18554.97,9614,83059.68,8705.07,105332.19
147,842.56,212,3181.4,41.51,3619.13
148,256627.08,141141,1105390.25,190038.57,1622983.4399999995
149,1347.74,384,5250.7,68.48,5752.88
150,766.93,162,3698,149.64,4109.07
151,151934.44,104996,719001.65,115920.93000000001,1018149.7000000003
152,21160.05,11714,91154.08,9465.02,115556.93
153,515,146,1947.17,119.61,2324.91
154,527.39,74,3786,104.12,4223.09
155,2414.2400000000002,427,10594.3,129.96,11516.1
156,12.03,11,230,42.81,290.01
157,3439.54,863,21808.15,3013.06,28056.010000000002
158,194195.01,120037,906785.77,166744.29,1357910.7599999998
159,2103.38,834,9099.34,168.17,10335.18
